Constituency ID,Constituency_Name,Winning_Margin,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Indian National Congress,Pattali Makkal Katchi,Bharatiya Janata Party,Makkal Needhi Maiam,Amma Makkal Munnettra Kazagam,Independent,Communist Party of India,Viduthalai Chiruthaigal Katchi,Communist Party of India  (Marxist),None of the Above,Indian Union Muslim League,Desiya Murpokku Dravida Kazhagam,Bahujan Samaj Party,Puthiya Tamilagam,Indiya Jananayaka Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,Tamil Nadu Ilangyar Katchi,My India Party,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Anaithu Makkal Puratchi Katchi,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,All India Samathuva Makhal Katchi,New Generation People’s Party,Communist Party of India  (Marxist-Leninist)  (Liberation),Anna Dravidar Kazhagam,Desiya Makkal Sakthi Katchi,Naam Indiar Party,Dhesiya Makkal Kazhagam,Nationalist Congress Party,Anaithu Makkal Arasiyal Katchi,Ganasangam Party of India,Anna MGR Dravida Makkal Kalgam,All India Majlis-E-Ittehadul Muslimeen,Ahimsa Socialist Party,Tamilaga Makkal Thannurimai Katchi,Republican Party of India (Athawale),All India Jananayaka Makkal Kazhagam,Tipu Sultan Party,United States of India Party,Samaniya Makkal Nala Katchi,Akhil Bharat Hindu Mahasabha,Naadaalum Makkal Katchi,All India Uzhavargal Uzhaippalargal Katchi,Bahujan Dravida Party,Namadhu Makkal Katchi,Makkal Munnetra Peravai,Desiya Sirupanmayinar Makkal Iyakkam,Shiv Sena,Ambedkarite Party of India,Janata Dal  (Secular),National People's Party,National Democratic Party of South India,Lok Jan Shakti Party,All India Trinamool Congress,India Dravida Makkal Munnetra Katchi,Kongu  Desa  Marumalarchi  Makkal  Katchi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Tamizhaga Murpokku Makkal Katchi,All India MGR Makkal Munnetra Kazhagam,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Manitha Urimaigal Kalaagam,Makkal Nala Kazhagam,MGR Makkal Katchi,Anaithu Ulaga Tamilargal Munnetra Kalagam,All Pensioner’s Party,Rashtriya Janata Dal,Namathu Kongu Munnetra Kalagam,South India Forward Bloc,Akila India Vallalar Peravai,Nam India Naam Indiyar Katchi,Rashtriya Samaj Paksha,All  India  Pattali  Munnetra Katchi,People's Party of India(secular),"Makkal Sananayaga Kudiyarasu Katchi,",Samata Party,All India Youth Development Party,Ezhuchi Tamilargal Munnetra Kazhagam,Valamaana  Tamizhagam   Katchi,Makkalatchi Katchi,Ulaga Makkal Katchi,Anaithu Makkal Munnetra Kazhagam,Desa Makkal Munnetrak Kazhgam,Dravida Murpokku Makkal Katchi,Ambedkar Political Party,Tamil Telugu National Party,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Samajwadi Party,Tamilnadu Mahatma Gandhi Makkal Katchi,Anna MGR Dravida Munnetra Kazhagam,Ilantamilar Munnani Kazhagam,Tamilnadu Makkal Nalvazhvu Periyakkam,Thamizhaga Munnetra Congress,Jebamani Janata,Anaithindia Samudaya Munnetra Kazhagam,MAKKAL SAKTHI KATCHI,Indhia Kudiarasu Katchi,Vidial Valarchi Perani,Makkal Nalvaazhvuk Katchi,"Makkal Thilagam Munnetra Kazhagam,",Universal Brotherhood Movement,Rashtriya Ulama Council,Hindustan Janta Party,Kamarajar Deseeya Congress,Bhartiya Manavadhikaar Federal Party,Republican Party of India  (Sivaraj),Mahathma Makkal Munnetra Kazhakam
149,Ariyalur,3234,103975,100741,12346,,,,,2044,767,,,,1386,,,486,,905,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Jayankondam,5452,99529,,9956,,94077,,,1560,1546,,,,1861,,,605,,4700,,,,,,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Tittakudi,21563,83726,,10591,,,62163,1745,,1063,,,,999,,4142,559,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Vriddhachalam,862,,,8642,77064,76202,,,,862,,,,761,,25908,468,,841,,891,,,273,,,179,,,,,,,,,,,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Neyveli,977,75177,,7785,,74200,,,2230,556,,,,1171,,,455,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Panruti,4697,93801,89104,6547,,,,1670,,418,,,,1323,,3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Cuddalore,5151,84563,79412,9563,,,,4040,,307,,,,1236,,1499,79,,,,617,,,,29,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Kurinjipadi,17527,101456,83929,8512,,,,,837,515,,,,1212,,,482,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Bhuvanagiri,8259,88194,96453,6958,,,,,2470,333,,,,1058,,,504,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Chidambaram,16937,,91961,9071,,,,2953,1388,337,,,,1202,75024,,478,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,
159,Kattumannarkoil,10565,,75491,6806,,,,1415,1904,991,,86056,,648,,,429,,,,,,,,134,,,,,,,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sirkazhi,12148,94057,81909,11013,,,,1000,1308,288,,,,977,,,495,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Mayiladuthurai,2742,,,13186,73642,70900,,5933,7282,356,,,,1067,,,526,,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Poompuhar,3299,96102,92803,14823,,,,950,1220,343,,,,733,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Nagapattinam,7238,,59043,9976,,,,2540,3503,252,,66281,,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Kilvelur,16985,,,15173,,51003,,2906,2503,615,,,67988,897,,,641,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Vedaranyam,12329,66390,78719,9106,,,,437,1284,319,,,,673,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Thiruthuraipoondi,30068,,67024,15362,,,,,3555,476,97092,,,1313,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Mannargudi,37393,87172,49779,10438,,,,1366,40481,1845,,,,960,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Thiruvarur,51174,108906,57732,26300,,,,4068,,531,,,,1653,,,720,293,,6364,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Nannilam,4424,99213,103637,13419,,,,,2076,352,,,,1190,,,711,,381,,,,,,,,,,164,111,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Thiruvidaimarudur,10680,95763,85083,11176,,,,,1746,245,,,,1240,,,1839,,226,,,,,78,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Kumbakonam,21383,96057,74674,12480,,,,5276,6523,234,,,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Papanasam,16273,86567,70294,14724,,,,2032,19778,567,,,,1204,,,,,,,,,,252,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Thiruvaiyaru,53650,103210,,15820,,,49560,,37469,1093,,,,1180,,,530,1215,,,,,,,257,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Thanjavur,47149,103772,56623,17366,,,,9681,,260,,,,1938,,4246,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Orathanadu,28835,61228,90063,9050,,,,721,26022,2041,,,,867,,,550,,,,,,,99,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Pattukkottai,25269,79065,53796,10730,,,,3088,5223,23771,,,,1026,,,,,,,,,,179,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Peravurani,23503,89130,65627,12154,,,,,,262,,,,770,,1623,494,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Gandarvakkottai,12721,,56989,12661,,,,848,12840,620,,,69710,1390,,,,,,,,,,,,,,1271,,,,,,190,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Viralimalai,23598,78581,102179,7035,,,,559,1228,620,,,,385,,,263,215,,,,35,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Pudukkottai,13001,85802,72801,11503,,,,3948,,476,,,,604,,1873,463,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Thirumayam,1382,71349,69967,11061,,,,1356,1503,15144,,,,569,,,,238,,,,554,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Alangudi,25847,87935,62088,15477,,,,1230,2924,343,,,,702,,,444,,,,,180,,155,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Aranthangi,30893,,50942,18460,81835,,,966,4699,3164,,,,524,,,636,612,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,
184,Karaikudi,21589,,,23872,75954,,54365,8351,44864,548,,,,1349,,,652,702,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Tiruppattur,37374,103682,66308,14571,,,,,7448,13202,,,,853,,,,241,862,,,144,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Sivaganga,11253,,82153,22500,,,,2105,19824,1332,70900,,,1270,,,,,,,,373,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Manamadurai,14091,89364,75273,23228,,,,2257,10231,371,,,,1333,,,,,,,,111,,229,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Melur,35162,,83344,10669,48182,,,2176,34262,736,,,,884,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Madurai East,49604,122729,73125,17668,,,,11993,6729,349,,,,1944,,,,1755,,,,122,,152,,,,,,,,,,,,,,,,,,308,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Sholavandan,17045,84240,67195,13936,,,,3031,,363,,,,961,,3582,,250,,,,71,,,,,,125,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Madurai North,22916,73010,,15311,,,50094,12102,3280,168,,,,1564,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Madurai South,6515,62812,56297,10483,,,,12821,2672,257,,,,1551,,,,,,,,104,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Madurai Central,34176,73205,39029,11215,,,,14495,,4907,,,,1441,,,286,,,3347,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,
194,Madurai West,9121,74762,83883,18224,,,,15849,,368,,,,1774,,3417,,,,,2509,,,,,,,,,,,,,,,79,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Thiruparankundram,29489,,103683,22722,,,,16750,10190,2005,,,74194,2073,,,,,,,,131,,,,,,,,,,,,,,592,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,
196,Thirumangalam,14087,86251,100338,11593,,,,2775,13780,1576,,,,971,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Usilampatti,7477,63778,71255,15357,,,,,55491,1247,,,,1032,,,,1161,,,,378,,,,,,,,,,,,,,,,,,,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Andipatti,8538,93541,85003,11216,,,,3010,11896,572,,,,1333,,,392,,,,,109,,650,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Periyakulam,21321,92251,70930,11794,,,,5680,16424,628,,,,2451,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Bodinayakanur,11021,89029,100050,11114,,,,4128,5649,443,,,,1403,,,,,,,,143,,,100,,,,80,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Cumbum,42413,104800,62387,12347,,,,4647,14536,451,,,,1659,,,,,,,,120,,122,151,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Rajapalayam,3898,74158,70260,15593,,,,4059,7660,548,,,,1875,,,,3388,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Srivilliputhur,12738,,70475,20348,57737,,,3512,23682,363,,,,1666,,,,4985,,,942,177,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Sattur,11179,74174,62995,12626,,,,,32916,635,,,,1297,,,,1599,1751,,,188,166,414,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Sivakasi,17319,,61628,20865,78947,,,6090,9893,1430,,,,1727,,,438,,,,,191,426,316,,,,,,,,,,,,,,,,78,,,,,,,,61,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Virudhunagar,21339,73297,,14311,,,51958,,10783,1406,,,,1570,,,,,,,,,,,,5054,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
207,Aruppukkottai,39034,91040,52006,12392,,,,7638,,630,,,,1323,,2532,272,478,,,,57,,58,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Tiruchuli,60992,102225,41233,13787,,,,1356,6441,2492,,,,740,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Paramakudi,13285,84864,71579,16430,,,,3488,,687,,,,1258,,2009,425,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Tiruvadanai,13852,,65512,16501,79364,,,2208,33426,522,,,,768,,,610,,,,,399,,,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Ramanathapuram,50479,111082,,17046,,,60603,1985,6760,10822,,,,753,,,636,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,78,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Mudhukulathur,20721,101901,81180,11244,,,,943,19669,813,,,,523,,,535,393,,,,134,,,,,,,,,614,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Vilathikulam,38549,90348,51799,11828,,,,1520,6657,348,,,,1036,,,487,1055,,,,,,,,,,,,,613,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Thoothukkudi,50310,92314,42004,30937,,,,10534,,2866,,,,1569,,4040,436,,,,,,269,,127,,,,,,,,,,,,,,,161,,,915,,,,,93,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Tiruchendur,25263,88274,63011,15063,,,,1965,3766,196,,,,1051,,,,,,,,,129,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Srivaikuntam,17372,,59471,12706,76843,,,1355,10203,494,,,,756,,,,444,,,,,,,,,,,106,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Ottapidaram,8510,73110,64600,22413,,,,,,399,,,,1568,,5327,,6544,1913,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Kovilpatti,12403,,68556,9213,,,,3667,56153,644,,,37380,1124,,,203,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,
219,Sankarankovil,5297,71347,66050,13851,,,,2338,22682,890,,,,1957,,,,1941,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Vasudevanallur,2367,68730,66363,16731,,,,2139,13376,716,,,,2171,,,,3651,,,544,342,,,,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Kadayanallur,24349,,88474,10136,,,,1778,34216,938,,,,1056,64125,,,,,,,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Tenkasi,370,,88945,15336,89315,,,2188,9944,1978,,,,1159,,,,878,,,,195,,416,119,,,,690,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Alangulam,3539,70614,74153,12519,,,,1454,,37727,,,,1786,,2816,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Tirunelveli,23107,69175,,19162,,,92282,,8911,1412,,,,2091,,,654,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Ambasamudram,16915,68296,85211,13735,,,,2807,4194,390,,,,1673,,,509,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Palayamkottai,52141,89117,36976,11665,,,,8107,,395,,,,1647,,,,,,12241,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Nanguneri,16486,,59416,17654,75902,,,,31870,1154,,,,1537,,,700,,,,,,430,,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Radhapuram,5925,82331,76406,19371,,,,,,1224,,,,903,,2432,464,,,,,,295,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Kanniyakumari,16213,93532,109745,14140,,,,3106,1589,446,,,,1096,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Nagercoil,11669,77135,,10753,,,88804,4037,1094,242,,,,930,,,,,,,,,,315,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Colachal,24832,,,18202,90681,,65849,2127,,272,,,,878,,1332,831,,,,,,,1145,,,,1218,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Padmanabhapuram,26885,87744,60859,13899,,,,981,3234,324,,,,1036,,,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Vilavancode,28669,,,12292,87473,,58804,637,,3541,,,,782,,2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Killiyoor,55400,,46141,14517,101541,,,,1102,323,,,,754,,,1596,,,,1443,,,,,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,
