Constituency ID,Constituency_Name,Winning_Margin,Candidate - Dravida Munnetra Kazhagam,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - Naam Tamilar Katchi,Candidate - Indian National Congress,Candidate - Pattali Makkal Katchi,Candidate - Bharatiya Janata Party,Candidate - Makkal Needhi Maiam,Candidate - Amma Makkal Munnettra Kazagam,Candidate - Independent,Candidate - Communist Party of India,Candidate - Viduthalai Chiruthaigal Katchi,Candidate - Communist Party of India  (Marxist),Candidate - None of the Above,Candidate - Indian Union Muslim League,Candidate - Desiya Murpokku Dravida Kazhagam,Candidate - Bahujan Samaj Party,Candidate - Puthiya Tamilagam,Candidate - Indiya Jananayaka Katchi,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Tamil Nadu Ilangyar Katchi,Candidate - My India Party,Candidate - Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Candidate - Anaithu Makkal Puratchi Katchi,Candidate - Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Candidate - All India Samathuva Makhal Katchi,Candidate - New Generation People’s Party,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Anna Dravidar Kazhagam,Candidate - Desiya Makkal Sakthi Katchi,Candidate - Naam Indiar Party,Candidate - Dhesiya Makkal Kazhagam,Candidate - Nationalist Congress Party,Candidate - Anaithu Makkal Arasiyal Katchi,Candidate - Ganasangam Party of India,Candidate - Anna MGR Dravida Makkal Kalgam,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Ahimsa Socialist Party,Candidate - Tamilaga Makkal Thannurimai Katchi,Candidate - Republican Party of India (Athawale),Candidate - All India Jananayaka Makkal Kazhagam,Candidate - Tipu Sultan Party,Candidate - United States of India Party,Candidate - Samaniya Makkal Nala Katchi,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Naadaalum Makkal Katchi,Candidate - All India Uzhavargal Uzhaippalargal Katchi,Candidate - Bahujan Dravida Party,Candidate - Namadhu Makkal Katchi,Candidate - Makkal Munnetra Peravai,Candidate - Desiya Sirupanmayinar Makkal Iyakkam,Candidate - Shiv Sena,Candidate - Ambedkarite Party of India,Candidate - Janata Dal  (Secular),Candidate - National People's Party,Candidate - National Democratic Party of South India,Candidate - Lok Jan Shakti Party,Candidate - All India Trinamool Congress,Candidate - India Dravida Makkal Munnetra Katchi,Candidate - Kongu  Desa  Marumalarchi  Makkal  Katchi,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Tamizhaga Murpokku Makkal Katchi,Candidate - All India MGR Makkal Munnetra Kazhagam,Candidate - Aanaithinthiya Jananayaka Pathukappu Kazhagam,Candidate - Manitha Urimaigal Kalaagam,Candidate - Makkal Nala Kazhagam,Candidate - MGR Makkal Katchi,Candidate - Anaithu Ulaga Tamilargal Munnetra Kalagam,Candidate - All Pensioner’s Party,Candidate - Rashtriya Janata Dal,Candidate - Namathu Kongu Munnetra Kalagam,Candidate - South India Forward Bloc,Candidate - Akila India Vallalar Peravai,Candidate - Nam India Naam Indiyar Katchi,Candidate - Rashtriya Samaj Paksha,Candidate - All  India  Pattali  Munnetra Katchi,Candidate - People's Party of India(secular),"Candidate - Makkal Sananayaga Kudiyarasu Katchi,",Candidate - Samata Party,Candidate - All India Youth Development Party,Candidate - Ezhuchi Tamilargal Munnetra Kazhagam,Candidate - Valamaana  Tamizhagam   Katchi,Candidate - Makkalatchi Katchi,Candidate - Ulaga Makkal Katchi,Candidate - Anaithu Makkal Munnetra Kazhagam,Candidate - Desa Makkal Munnetrak Kazhgam,Candidate - Dravida Murpokku Makkal Katchi,Candidate - Ambedkar Political Party,Candidate - Tamil Telugu National Party,Candidate - Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Candidate - Samajwadi Party,Candidate - Tamilnadu Mahatma Gandhi Makkal Katchi,Candidate - Anna MGR Dravida Munnetra Kazhagam,Candidate - Ilantamilar Munnani Kazhagam,Candidate - Tamilnadu Makkal Nalvazhvu Periyakkam,Candidate - Thamizhaga Munnetra Congress,Candidate - Jebamani Janata,Candidate - Anaithindia Samudaya Munnetra Kazhagam,Candidate - MAKKAL SAKTHI KATCHI,Candidate - Indhia Kudiarasu Katchi,Candidate - Vidial Valarchi Perani,Candidate - Makkal Nalvaazhvuk Katchi,"Candidate - Makkal Thilagam Munnetra Kazhagam,",Candidate - Universal Brotherhood Movement,Candidate - Rashtriya Ulama Council,Candidate - Hindustan Janta Party,Candidate - Kamarajar Deseeya Congress,Candidate - Bhartiya Manavadhikaar Federal Party,Candidate - Republican Party of India  (Sivaraj),Candidate - Mahathma Makkal Munnetra Kazhakam
,,2039126,17430100,15390974,3041974,1976527,1758774,1213510,1210337,1085915,643805,504537,457763,390819,345538,222263,200156,101326,39614,39288,28051,22953,11602,7324,7040,6934,6583,5403,5135,4198,4125,4073,3532,3371,3255,3246,3157,3134,2716,2690,2510,2337,2050,1980,1933,1930,1705,1594,1508,1478,1276,1264,1205,1203,1189,1187,1073,970,963,956,943,855,667,622,562,527,519,504,497,482,478,425,404,379,375,361,351,331,295,291,280,268,261,255,235,232,200,197,177,176,168,162,162,160,146,120,116,113,112,112,110,105,104,102,99,82,73,67,63,62,52
1,Gummidipoondi,50938,GOVINDARAJAN T.J,,USHA,,PRAKASH M,,,,SARAVANAN E,,,,NOTA,,DILLIY K.M,NAGARAJ S,,SARAVANAN V,,,,,,,,,,,,,,,GOWTHAM J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ponneri,9689,,BALARAMAN. P,MAHESWARI. A,DURAI. CHANDRASEKAR,,,DESINGURAJAN. D,PON. RAJA,ASHOK PRIYADARSHAN. S,,,,NOTA,,,BHAVANI ILAVENIL. J,,,,,,,,,,,,,,,,,,,VIJAYAKUMAR. V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tiruttani,29253,S.Chandran,G.Hari,L.AKILA,,,,,,D.PAULRAJ,,,,NOTA,,D.Krishnamoorthi,N.MAGENDIRAN,,M.D.Thanigai Malai,,,,,,,,,,,,,,,,,,,,,,Manikkam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Thiruvallur,22701,"RAAJENDRAN, V.G.","RAMANAH, BE VEE","PASUPATHY, P.",,,,,"GURU, N.","RAJENDIRAN, G.",,,,NOTA,,,"DOSS, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Poonamallee,94110,Krishnaswamy A,,Manimekalai A,,Rajamannar S X,,Revathi Manimegalai J,Elumalai T.A.,Ravikumar M,,,,NOTA,,,Sathyamurthy A C,,,,,Boshya Gayathri M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Avadi,55275,Nasar S M,Pandiarajan K,VIJAYALAKSHMI G,,,,Udhayakumar V,,Pandiarajan G,,,,NOTA,,Sankar N M,CHARLES S,,,,Balasubramanian M,Banumathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viswanathan R,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raman N,,,,,,,,,,,,,,,
7,Maduravoyal,31721,GANAPATHY.K,BENJAMIN.P,GANESHKUMAR.G,,,,PADMA PRIYA.S,LUCKY MURUGAN.E,PRIYA.K,,,,NOTA,,,SANTHAKUMAR.Y,,,,SHANMUGAM.K,,,,,,,,,,,,LAVANYA.P,NEVIS STELLA MARY.B,,MUTHURAMAN.S,,,,,,,,,,,,SUMITHRA.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ambattur,42146,JOSEPH SAMUEL,V ALEXANDER,R ANBU THENARASAN,,,,S VAITHESWARAN,S VEDHACHALAM,K Bharathi,,,,NOTA,,,,,,,,,,,,,,,,,,,R Radha,S Veena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Madavaram,57071,SUDHARSANAM. S,Moorthy. V,ELUMALAI. R,,,,RAMESH,DHAKSHNAMOORTHY. D,MOORTHY. S,,,,NOTA,,,DEEPAK. S,,,,,,,,,,,,,ARAVIND KUMAR. P,,,,,,YUVARAJ. M,,,,,,,,,,VINOTH KUMAR. M,,,,,,SAMBATH. E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Thiruvottiyur,37661,K.P.SHANKAR,K.KUPPAN,SEEMAN,,,,D.MOHAN,M.SOUNDARA PANDIAN,M.A.MICHAEL RAJ,,,,NOTA,,,M.KOTTESWARAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.EGAVALLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.SASIRAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dr.Radhakrishnan Nagar,42479,EBENEZER. J.J. (@)  JOHN EBENEZER.J,RAAJESH.R.S.,GOWRISHANKAR . K,,,,FAZIL . A,DR. KALIDAS . P,SANTHAKUMAR . A,,,,NOTA,,,VIJAYAN.P,,,,,,,,,,,,,,,,,,,,,,,BABU MAILAN . A,,,MOHAN . R,,,,,,,,,VENUGOPAL.D,,,,,,,,,SIVAKUMAR.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMADASS . E,,,,,,,,
12,Perambur,54976,SHEKAR. R.D,DHANAPALAN N.R,MERLIN SUGANTHI. S,,,,PONNUSAMY. A,LAKSHMI NARAYANAN. E,SATHEESH. J,,,,NOTA,,,SURESH. C,,,,,,,,,,,,,,,,,,,,,,,SOOSAI. M.A,,,,,,,,,,,,,,,,,,,,,SEBASTIN. J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Kolathur,70384,M.K. STALIN,AADIRAJARAM,F.CAMILUS SELVA,,,,A.JAGADISH KUMAR,J.ARUMUGAM,AGNI SRI RAMACHANDRAN,,,,NOTA,,,MJS.JAMAL MOHAMED MEERA,,,,SURESH,,ELUMALAI.K,,,,ASHOK KUMAR.S,,,D.SURESHBABU,,,,,,E.RAJENDRAN,,,,,,,,,,,,A.SEETHA,,,,G.VELMURUGAN,,,,M.RAJENDRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,S.SURESHKUMAR,,,,,,,,,,,,,VIVEKRAJ.J,,,,,,,,,,,,,,
14,Villivakkam,37237,A . Vetriazhagan,J.C.D.Prabhakar,R.Sridar,,,,Sriharan,,Syed Rayhan,,,,NOTA,,D.Subamangalam,A.Palanivel,,,,,,,,,,,,,S. Raju Bharathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L.Govindaraj,,,,,,,,Jagadesh Jayakumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thiru-Vi-Ka-Nagar,55013,SIVAKUMAR.P,KALYANI.P.L,ILLAVANJI.Dr.R,,,,OBATH.S,,SIHAMANI.G,,,,NOTA,,SEKAR.M.P,BAGAVATH SINGH.M,,,,,,,,,,,,,,,,,,,,,,,RAVIPARAIYANAR.D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRABHAKARAN.K,,,,,,,,,,,,,,,,,,,,,,,,,,RAVIKUMAR.S,
16,Egmore,38768,I.PARANTHAMEN,B.JOHN PANDIAN,P.GEETHA LAKSHMI,,,,U. PRIYADARSINI,,V. PRABHU,,,,NOTA,,T.PRABHU,K.P.SUNDARAPRATHABAN,,,,,,,,,,,,,,,,,R.REVANTH,,,,,,,,,,,,,,,,,,,,,,,J.CHANDRAKALA,,,,,,,,,,,,,,,,,G.SHEEJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Royapuram,27779,MURTHY.R.IDREAM,JAYAKUMAR.D,KAMALI.S,,,,GUNASEKARAN.S,RAMAJAYAM.C,SUGANTHAN.T,,,,NOTA,,,KUMAR.S,,,,JAMES MARTIN.M,,,,,,,,,,,,,,,,,,,,,MOHAN.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Harbour,27274,SEKARBABU. P.K,,AHAMED FAZIL. M,,,VINOJ. P. SELVAM,RAMESH. A,SANTHANA KRISHNAN. P,SELVAM. P,,,,NOTA,,,RAVIKUMAR. C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chepauk-Thiruvallikeni,69355,UDHAYANIDHI STALIN,,JAYASIMMARAJA  S M,,KASSALI A.V.A,,,RAJENDRAN L,RAVI E,,,,NOTA,,,RAGHU C,,MOHAMMED IDRIS K,,,,,,,,,,,RAVI M L,,,,MOHAMED RIOZ,,,,,,ABID BAKSHQ H HUSSAIN,,TABREZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thousand Lights,32462,EZHILAN N,,SHERINE AJ,,,KUSHBOO SUNDAR,K M SHARIFF,VAIDHYANATHAN N,RADHA KRISHNAN S,,,,NOTA,,,WILLIAMS D,,,,,,,,,,,,,,,,,RIAZ(A) SYED ZAKEERULLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMNIC A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Anna Nagar,27445,M.K. Mohan,S. Gokula Indira,S. Shankar,,,,V. Ponraj,K.N. Gunasekaran,S. Sathyanarayanan,,,,NOTA,,,D. JeevithKumar,,,,S.D. Prabhakar,,S. Yuvaraja,,,,J. Nagaraj,,,,,,,Ansar Ahamed,,M. Veriyandi,,,,V. Paulraj Guna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P. Dhanasekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Virugampakkam,18367,AMV.PRABHAKARA RAJA,VIRUGAI V.N.RAVI,T.S.RAJENDRAN,,,,SENEGAN,,M.GUNASEKARAN (A) STAR M.GUNASEKARAN,,,,NOTA,,B.PARTHASARATHY,,,,,,,G.THANIGACHALAM,,,,,,,,,,,MANJU,,S.R.DINESH KUMAR,,,,,M.S.ISMAIL KHAN,,,,,,,,,,,,,,,,,,,,,R.PRABAHARAN,,,,,,,,G.RAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Saidapet,29408,SUBRAMANIAN. MA,SAIDAI DURAISAMY,SURESH KUMAR. B,,,,SNEGAPRIYA,SENTHAMIZHAN. G,SIVASANKAR. S. R,,,,NOTA,,,KOTTUR KUMAR. R,,,,,,,,,,,,,SIVAGNANASAMBANDAN. T,,,,,,,,,,SAGAYAMARY. N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Thiyagarayanagar,137,KARUNANITHI J,SATHIYANAARAYANAN B,SIVASANKARI S,,,,KARUPPIAH PALA,BHARANEESWARAN R,PALAYAN R,,,,NOTA,,,JOHNSON R,,,,,,,,,,,,,DHANASEKARAN R,,,,VETRI SELVI,,,,,,,,,DHANUSH M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THIRUNAVUKKARASU V,,,,,,,,,,,,,,,,,,,,,,,,,,,ELLAPPAN A.K.D
25,Mylapore,12633,VELU.DHA,NATARAJ.R,MAHALAKSHMI.K,,,,SRIPRIYA,KARTHICK.D,RADHA M (TRANSGENDER),,,,NOTA,,,BALAJI,,,,,,,,,,,,,,,,,SENTHIL KUMAR.D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHANRAJ.J,,,,,,,,,,,,,
26,Velachery,4352,,M.K.ASHOK,M.KEERTHANA,JMH.AASSAN MAULAANA,,,Dr. SANTHOSH BABU IAS (Retd),M.CHANDRABOSE,V.SIVARAMAN,,,,NOTA,,,C.VELU,,,,V.L.REVATHI JAYAKUMARI,,,,,,GEETHA,,,,,,,D.VENKATESHAN,,,,,,J.VICTOR PAUL,,,,,,,,,,,,,,,,,,,,,,R.KANCHANA,,,,,A.CHANDRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Shozhinganallur,35405,S.ARAVINDRAMESH,K.P.KANDAN,S.MICHAEL,,,,RAJIV KUMAR,,K.SURJITHKUMAR,,,,NOTA,,R.MURUGAN,G.PRAKASH ROBERT,,,,,,,,,,,,,,,,,M.RAJESWARIPRIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.ELUMALAI,,,,,,,,,,,,,,,,,
28,Alandur,40571,T.M.Anbarasan,B.Valarmathi,Dr.R.Karthikeyan,,,,Sarathbabu,,A.Abrahamlincon,,,,NOTA,,,,,,M Mohammed Thameem Ansari,G Kamalakannan,,,,,,,,,N.Raja,,,,Subashree,,,,,,J.Vincent,,,,,,,,,,,,,,,,Rajesh Chinnadurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.R.Suresh,,
29,Sriperumbudur,10879,,PALANI,PUSHPARAJ,SELVAPERUNTHAGAI,,,THANIGAIVEL,PERUMAL,VAIRAMUTHU,,,,NOTA,,,VINOTH,,,,,,,,,,,,,LOKESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
