Constituency ID,Constituency_Name,Winning_Margin,All India Trinamool Congress,Bharatiya Janata Party,Communist Party of India  (Marxist),Indian National Congress,Independent,Rashtriya Secular Majlis Party,None of the Above,All India Forward Bloc,Bahujan Samaj Party,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Revolutionary Socialist Party,Communist Party of India,AJSU Party,Bahujan Mukti Party,Amra Bangalee,Kamatapur People’s Party (United),Communist Party of India  (Marxist-Leninist)  (Liberation),Purvanchal Mahapanchayat,All India Majlis-E-Ittehadul Muslimeen,Janata Dal  (United),Bharatiya Nyay-Adhikar Raksha Party,Lok Jan Shakti Party,Communist Party of India (Marxist-Leninist) Red Star,Ambedkarite Party of India,SOCIAL DEMOCRATIC PARTY OF INDIA,Indian Unity Centre,Party for Democratic Socialism,Welfare Party Of India,United Socialist Party,Humanity Universal Motion Party,Bahujan Maha Party,National People's Party,"Justice and Development Party,",Republican Party of India (Athawale),Bhartiya Tribal Party,Mulnibasi Party of India,Indian Union Muslim League,Progressive People's Party,West Bengal Socialist Party,Republican Party of India (A),Democratic Socialist Party of India,Jan Sangh Party,Socialist Party (India),National Republic Party Of India,Guru Chand Mukti Morcha,Paradise Party,Hindustani Awam Morcha (Secular),Samajwadi Jan Parishad,Bharateeya Manavadhikar party,Rashtravadi Janata Party,Akhil Bharat Hindu Mahasabha,Right to Recall Party,All India Minorities Front,Lok Samya Party,Sajag Samaj Party,New Democratic Party of India,Revolutionary Socialist Party of India(Marxist),Jamat-E-Seratul Mustakim,Bharatiya Momin Front,Vikas India Party
136,Jaynagar,38683,104952,66269,17368,,1435,,1164,,811,9423,,,,574,,,,,,,,248,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,
137,Baruipur Purba,49641,123243,73602,21467,,1627,,1855,,1393,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Canning Paschim,35243,111059,75816,,11908,13390,,3032,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Canning Purba,53007,122301,34503,,,1715,69294,2267,,,2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Baruipur Paschim,61910,121006,59096,25639,,1769,,1536,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Magrahat Purba,54079,110945,56866,33822,,939,,1480,,,1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Magrahat Paschim,46941,97006,50065,,,920,40685,2286,,,615,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Diamond Harbour,16996,98478,81482,38719,,1585,,1449,,1088,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,
144,Falta,40774,117179,76405,,7452,1677,,1185,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Satgachhia,23318,118635,95317,16220,,993,,1377,,1379,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Bishnupur,58832,136509,77677,17995,,817,,1863,,2709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sonarpur Dakshin,26181,109222,83041,,,1907,,2550,,1110,441,,31778,,126,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,
148,Bhangar,26151,83086,38726,,,1303,109237,3243,,,937,,,,,,,,,,,,,4930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Kasba,63622,121372,57750,39180,,503,,2476,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Jadavpur,38869,98100,53139,59231,,400,,2730,,649,,,,,,,,,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sonarpur Uttar,36090,119957,83867,29400,,1521,,2114,,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Tollyganj,50080,101440,51360,40597,,303,,2310,,,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Behala Purba,37428,110968,73540,30172,,1167,,2835,,1175,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Behala Paschim,50884,114778,63894,47509,,873,,2433,,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Maheshtala,57949,124008,66059,25276,,1165,,2049,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Budge Budge,44714,122357,77643,,10809,1143,,2735,,932,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Metiaburuz,119604,151066,31462,,,735,7389,3008,,609,,,,,,829,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,409,,,,,,,
158,Kolkata Port,68554,105543,36989,,5590,1139,,1360,,748,180,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bhabanipur,28719,73505,44786,,5211,523,,1570,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Rashbehari,21414,65704,44290,,10314,669,,1662,,,546,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,
161,Ballygunge,75359,106585,31226,8474,,643,,1317,,812,,,,,,,,,541,,,580,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Chowrangee,45344,70101,24757,,14266,169,,1212,,264,204,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,
163,Entally,58257,101709,43452,,,1934,4354,991,,827,,,,,,,,,,,137,132,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,249,,,,,,,
164,Beleghata,67140,103182,36042,14045,,1168,,1564,,757,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,
165,Jorasanko,12743,52123,39380,,4769,361,,1028,,412,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Shyampukur,22520,55785,33265,,,639,,1063,10828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,
167,Maniktola,20238,67577,47339,13513,,783,,1420,,669,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,
168,Kashipur-Belgachhia,35390,76182,40792,14757,,234,,1577,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Bally,6237,53347,47110,22040,,587,,1205,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Howrah Uttar,5522,71575,66053,8133,,911,,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,251,,,,,,,,,,,,91,
171,Howrah Madhya,46547,111554,65007,,12942,488,,2735,,,284,,,,,,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
172,Shibpur,32603,92372,59769,,,907,,1912,24970,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Howrah Dakshin,50569,116839,66270,27287,,1063,,2948,,,322,,,,,,,,,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Sankrail,40427,111888,71461,34144,,1006,,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Panchla,32751,104572,71821,,,1218,35576,2411,,,,,,,,1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Uluberia Purba,17126,86526,69400,,,1617,30458,2111,,,,,,,,,,,,,,,,,,,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Uluberia Uttar,21003,91501,70498,19292,,1181,,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Uluberia Dakshin,28438,101880,73442,,,1314,,1474,21110,,1165,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Shyampur,31511,114804,83293,,20408,632,,1142,,,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Bagnan,30120,106042,75922,14555,,906,,1548,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Amta,26205,102445,76240,,25109,1266,,1302,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Udaynarayanpur,13998,101510,87512,,5178,1718,,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Jagatballavpur,29196,116562,87366,,,1690,25362,2769,,,,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Domjur,42620,130499,87879,22768,,2855,,2082,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Uttarpara,35989,93878,57889,42718,,833,,3353,,,,,,,,,,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Sreerampur,23433,93021,69588,,19401,1075,,2400,,,768,,,,,,,,,,,,,,,,,,,,,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Champdani,30078,100972,70894,,23272,808,,3347,,,,,,,,,,,,,,,,,,,,,,,,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Singur,25923,101077,75154,30016,,,,2345,,,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Chandannagar,31029,86778,55749,33702,,1184,,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Chunchura,18417,117104,98687,,,1311,,4338,28777,1328,,,,,,,,,,,,,,,839,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,,,,,,,,
191,Balagarh,5784,100364,94580,19766,,,,3105,,,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Pandua,31858,102874,71016,41474,,,,2164,,1650,1982,,,,,,,,,,,,1244,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Saptagram,9772,93328,83556,,8332,1745,,3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Chanditala,41347,103118,61771,37161,,1886,,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Jangipara,17926,101885,83959,,,1685,17756,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Haripal,23072,110215,87143,,,,15795,3367,,2132,2122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Dhanekhali,30159,124776,94617,,9033,,,2182,,,,,,,,,,3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Tarakeswar,7484,96698,89214,14595,,961,,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Pursurah,28178,91156,119334,,7828,1968,,2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Arambag,7172,95936,103108,14965,,,,3171,,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Goghat,4147,98080,102227,,,,,2482,14378,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Khanakul,12884,94519,107403,,,2088,8732,3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Tamluk,793,108243,107450,,,774,,1136,,,2756,,14718,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Panskura Purba,9660,91213,81553,20717,,980,,1183,,,1458,,,,,904,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Panskura Paschim,8889,111705,102816,,,1103,,1337,,,1239,,15124,,,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Moyna,1260,106849,108109,,5108,361,,1335,,766,1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Nandakumar,5406,108181,102775,12782,,715,,1473,,,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Mahishadal,2386,101986,99600,,,788,13796,1765,,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Haldia,15008,89118,104126,22688,,,,1413,,1922,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Nandigram,1956,108808,110764,6267,,776,,1090,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Chandipur,13472,109770,96298,9837,,592,,736,,1254,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365,,,,,,,,,,,,,,,,,,,,,
212,Patashpur,9994,105299,95305,,,,,861,,,731,,6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Kanthi Uttar,9330,104194,113524,6504,,866,,1492,,,773,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Bhagabanpur,27549,93931,121480,,5274,,,1019,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Khejuri,17965,92442,110407,7812,,,,1136,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Kanthi Dakshin,10293,88184,98477,,,,,870,,,1136,,6014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Ramnagar,12517,112622,100105,6751,,,,1233,,,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,
218,Egra,18491,125763,107272,,5086,,,1393,,,1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Dantan,623,95209,94586,,,,,1250,,,1101,,5652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Nayagram,22754,100903,78149,5863,,905,,3086,,1858,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Gopiballavpur,23768,104115,80347,5819,,1224,,2791,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Jhargram,38240,109493,71253,10430,,1159,,3636,,1802,1193,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Keshiary,15330,106366,91036,9270,,,,2570,,1904,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Kharagpur Sadar,3771,75836,79607,,10791,,,2643,,,807,,,,,,,,,,,,,,,,,,,,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Narayangarh,2416,100894,98478,13229,,560,,1756,,,2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Sabang,9864,112098,102234,,17443,,,1534,,,1482,,,,,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Pingla,6656,112435,105779,,7103,,,2073,,,1279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Kharagpur,36230,109727,73497,11245,,,,2314,,,954,,,,,617,,,,,,,,,,,,,,,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Debra,11226,95850,84624,20723,,807,,1353,,,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Daspur,26842,114753,87911,17045,,,,1368,,,1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ghatal,966,104846,105812,10165,,1239,,1305,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Chandrakona,11281,121846,110565,,,1670,10801,2906,,,1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Garbeta,10572,94928,84356,23042,,833,,2719,,,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Salboni,32644,126020,93376,19859,,2643,,1965,,,565,,,,,1609,,,,,,,,,,,,,,,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Keshpur,20720,116992,96272,13670,,,,3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Medinipur,24397,121175,96778,,,968,,3928,,,1500,,12984,,,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Binpur,39494,100277,60783,8353,,6318,,3305,,3530,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Bandwan,18831,113337,94506,22204,,5067,,2954,,2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Balarampur,423,89098,89521,,8895,1478,,2441,,1416,1793,,,,,,,,,,,,,,2153,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,,,,,,,,,
240,Baghmundi,13969,75905,,,51046,,,2386,11842,,1188,,,61936,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Joypur,12200,,74380,,62180,35429,,2956,19413,,1126,,,,,,,,,,,,,,,,,,,,,,,,,,2102,,,,,,,,,,,,,,,613,,,,,,,,,
242,Purulia,7018,82715,89733,,24996,1918,,2588,,1034,1209,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Manbazar,15516,103298,87782,16849,,1604,,2291,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Kashipur,7387,85551,92938,10927,,,,2401,,,2269,,,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Para,4007,83340,87347,13681,,1651,,3657,,1676,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Raghunathpur,5438,90332,95770,14738,,2403,,3557,,1707,3829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Saltora,4145,87503,91648,14084,,,,3363,,,2261,,,,3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Chhatna,7164,83069,90233,,,2866,,3514,,,978,9700,,,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Ranibandh,3939,90928,86989,20057,,4807,,4226,,,1633,,,,1065,,,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Raipur,19398,101043,81645,,,1161,6593,2986,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Taldangra,12377,92026,79649,23189,,1889,,3518,,,986,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Bankura,1468,93998,95466,,13764,3303,,4507,,1314,1720,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Barjora,3269,93290,90021,25235,,2081,,4903,,,1160,,,,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Onda,11551,93389,104940,,,3439,,4879,15613,,984,,,,,,,922,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Bishnupur,11420,78269,89689,,15814,2278,,3419,,,1015,,,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Katulpur,11785,94237,106022,,17757,,,1856,,2519,1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Indus,7220,97716,104936,12619,,,,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Sonamukhi,10888,87273,98161,15725,,1732,,2076,,,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Khandaghosh,20886,104264,83378,22923,,,,1944,,3465,,,,,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Burdwan Dakshin,8105,91015,82910,23346,,581,,3707,,1455,797,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,,,,,,,,,,,,,,,,
261,Raina,18205,108752,90547,25332,,,,1563,,1871,,,,,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Jamalpur,17971,96999,79028,23298,,,,2865,,2024,,,,,1291,,,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Monteswar,31805,105460,73655,24740,,,,1611,,,,,,,,,,1877,,,,,,,,,,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Kalna,7478,96073,88595,19005,,,,2507,,2084,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Memari,23078,104851,81773,25618,,1029,,1673,,2121,,,,,1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Burdwan Uttar,17268,111211,93943,31028,,,,2396,,3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Bhatar,31741,108028,76287,19607,,1868,,4346,,1575,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Purbasthali Dakshin,17410,105698,88288,,15061,,,1562,,3105,,,,,,,,,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Purbasthali Uttar,6706,92421,85715,28134,,1141,,1350,,1907,,,,,,,,,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Katwa,9155,107894,98739,,12976,,,1780,,1598,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Ketugram,12683,100226,87543,20092,,,,3620,,2293,1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Mongalkote,22337,107596,85259,16783,,,,3826,,2476,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Ausgram,11815,100392,88577,20399,,,,4039,,1701,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Galsi,19262,109504,90242,,,,,2254,17020,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Pandabeswar,3803,73922,70119,12196,,2273,,2735,,1137,635,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Durgapur Purba,3746,79303,75557,29063,,1884,,2628,,1240,636,,,,,471,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Durgapur Paschim,14664,76522,91186,,18030,2130,,2624,,1228,691,,,,,,,,,,915,,,,,,,,,,,,,,879,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Raniganj,3556,78164,74608,21688,,,,2006,,1540,,,,,1609,,,,984,,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Jamuria,8051,71002,62951,24818,,,,2353,,2409,,,,,1686,,,,,,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Asnsol Dakshin,4487,83394,87881,15972,,,,3466,,2867,,,,,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Asansol Uttar,21110,100931,79821,,,1673,4471,3348,,,510,,,,,,,,,1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Kulti,679,80433,81112,,5795,2003,,3553,,1047,,,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Barabani,23457,88430,64973,,8962,2156,,3039,,,985,,,,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Dubrajpur,3863,94220,98083,,,,,3157,6014,1093,,,,,2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Suri,7320,105871,98551,,8267,664,,1835,,1318,2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Bolpur,22280,116443,94163,,,,,3337,,1239,678,9965,,,702,,,,,,,,,,,,,,,,,,,,,,626,,,,,,,,,,1938,,,,1169,,,,,,,,,,
287,Nanoor,6670,112116,105446,12878,,,,2149,,2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Labhpur,17975,108423,90448,6479,,1992,,3057,,922,,,,,,295,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Sainthia,15243,110572,95329,10369,,,,1742,,2098,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Mayureswar,12075,100425,88350,,,,5562,2803,,2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Rampurhat,8472,103276,94804,11707,,,,3381,,1587,960,,,,,,,,,,,,,,,,,,,,,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Hansan,50613,108289,57676,,39815,,,2420,,1177,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
