Constituency ID,Constituency_Name,Winning_Margin,Candidate - All India Trinamool Congress,Candidate - Bharatiya Janata Party,Candidate - Communist Party of India  (Marxist),Candidate - Indian National Congress,Candidate - Independent,Candidate - Rashtriya Secular Majlis Party,Candidate - None of the Above,Candidate - All India Forward Bloc,Candidate - Bahujan Samaj Party,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Revolutionary Socialist Party,Candidate - Communist Party of India,Candidate - AJSU Party,Candidate - Bahujan Mukti Party,Candidate - Amra Bangalee,Candidate - Kamatapur People’s Party (United),Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Purvanchal Mahapanchayat,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Janata Dal  (United),Candidate - Bharatiya Nyay-Adhikar Raksha Party,Candidate - Lok Jan Shakti Party,Candidate - Communist Party of India (Marxist-Leninist) Red Star,Candidate - Ambedkarite Party of India,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Indian Unity Centre,Candidate - Party for Democratic Socialism,Candidate - Welfare Party Of India,Candidate - United Socialist Party,Candidate - Humanity Universal Motion Party,Candidate - Bahujan Maha Party,Candidate - National People's Party,"Candidate - Justice and Development Party,",Candidate - Republican Party of India (Athawale),Candidate - Bhartiya Tribal Party,Candidate - Mulnibasi Party of India,Candidate - Indian Union Muslim League,Candidate - Progressive People's Party,Candidate - West Bengal Socialist Party,Candidate - Republican Party of India (A),Candidate - Democratic Socialist Party of India,Candidate - Jan Sangh Party,Candidate - Socialist Party (India),Candidate - National Republic Party Of India,Candidate - Guru Chand Mukti Morcha,Candidate - Paradise Party,Candidate - Hindustani Awam Morcha (Secular),Candidate - Samajwadi Jan Parishad,Candidate - Bharateeya Manavadhikar party,Candidate - Rashtravadi Janata Party,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Right to Recall Party,Candidate - All India Minorities Front,Candidate - Lok Samya Party,Candidate - Sajag Samaj Party,Candidate - New Democratic Party of India,Candidate - Revolutionary Socialist Party of India(Marxist),Candidate - Jamat-E-Seratul Mustakim,Candidate - Bharatiya Momin Front,Candidate - Vikas India Party
,,5729559,28471486,22741927,2837276,1739844,947779,813489,643418,297604,233437,224594,126121,118655,61936,45120,33372,18338,17946,11118,10852,10554,7015,6920,6410,6139,4988,4819,4673,4564,4459,4147,3980,3880,3724,3410,3239,2728,2372,2247,2163,2129,2059,1966,1946,1940,1939,1938,1650,1377,1170,1169,819,777,658,498,409,367,260,241,166,154
1,Mekliganj,14685,ADHIKARY PARESH CHANDRA,DADHIRAM RAY,,,SUBHASH BARMAN,,NOTA,GOBINDA CHANDRA ROY,JYOTISH ROY,RANJIT KUMAR ROY,,,,,CHINU ROY BARMAN,KUKIL ADHIKARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mathabhanga,26134,Girindra Nath Barman,Sushil Barman,Ashok Barman,,Haradhan Roy,,NOTA,,,Bikash Barman,,,,,Ratan Barman,Kangsa Raj Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,COOCHBEHAR UTTAR,14615,BINAY KRISHNA BARMAN,SUKUMAR ROY,,,NARESH CHANDRA ROY,,NOTA,NAGENDRA NATH ROY,,ANIL CHANDRA ROY,,,,,GOPAL ROY,SAMARESH RAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cooch Behar Dakshin,4931,Avijit De Bhowmik,Nikhil Ranjan Dey,,,Rati Ranjan Paul,,NOTA,Akshay Thakur,Khokan Majumdar,Nazma Khandakar,,,,,Babla Deb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sitalkuchi,17815,Partha Pratim Ray,Baren Chandra Barman,Sudhangshu Pramanik,,Hare Krishna Sarkar,,NOTA,,,Jagadish Adhikari,,,,,Kamal Barman,Manik Chandra Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sitai,10112,JAGADISH CHANDRA BARMA BASUNIA,DIPAK KUMAR ROY,,KESHAB CHANDRA RAY,SUNIL MAHANTA,,NOTA,,,ANIL CHANDRA BARMAN ROY,,,,,PRASANNA KUMAR ROY,,,,,,,PROSHANTA BARMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dinhata,57,UDAYAN GUHA,NISITH PRAMANIK,,,LEBU MIYAN,,NOTA,ABDUR ROUF,,PRADIP ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Natabari,23440,Rabindra Nath Ghosh,Mihir Goswami,Akik Hassan,,Sahidul Hossain,,NOTA,,,Abdus Salam,,,,,Dalendra Nath Ray,,,,,,,,,,,,,,Ekramul Hoque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tufanganj,31198,Pranab Kumar Dey,Malati Rava Roy,,Rabin Roy,Sushil Chandra Das,,NOTA,,,Bhola Saha,,,,,Jiban Kumar Saha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kumargram,11001,LEOS KUJUR (URAO),MANOJ KUMAR ORAON,,,Aron Murmu,,NOTA,,,,KISHOR MINJ,,,Shailen Marandi,,Shrilal Oron,,,,KALAWATI CHIK BARAIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kalchini,28576,PASSANG LAMA,BISHAL LAMA,,AVIJIT NARJINARY,BINAY NARJINARY,,NOTA,,,,,,,HAKIM MAHALI,,,,,,MADAN KUMAR URAON,,CHANCHAL NARJINARY,,,,,,,,,,ASHOK LAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Alipurduars,16007,SOURAV CHAKRABORTY (GHUTIS),SUMAN KANJILAL,,DEBA PRASAD ROY,NIKHIL CHANDRA RAIBIR,,NOTA,,,PIJUSH KANTI SARMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Falakata,3990,SUBHASH CHANDRA ROY,DIPAK BARMAN,KSHITISH CHANDRA RAY,,DIPAK CHANDRA MANDAL (SANTOSH),,NOTA,,,TARANI ROY,,,,,BIMAL ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAPAN ADHIKARI,,,,,,,,,,,,
14,Madarihat,29685,RAJESH LAKRA,MANOJ TIGGA,,,,,NOTA,,UTTAM BARUA,SUDHIST BARAIK,SUBHASH LOHAR,,,,,,,,,,,,,,,,,,,,,PANCHU ORAON,,,VIVEK PRADEEP TETE,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dhupguri,4355,MITALI ROY,BISHNU PADA RAY,PRADIP KUMAR ROY,,HRISHIKESH ROY,,NOTA,,BEDODYUTI ROY,DHIRANJAN ROY,,,,,,SUKUMAR ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maynaguri,11911,Manoj Roy,Kaushik Roy,,,Bilash Sarkar,,NOTA,,Ganesh Mandal,Shyamal Roy,Naresh Chandra Roy,,,,Binay Sarkar,Biswanath Roy,Uday Shankar Adhikari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jalpaiguri,941,DR. PRADIP KUMAR BARMA,SOUJIT SINGHA (PIKU),,SUKHBILAS BARMA,RAKHI SARKAR,,NOTA,,SUBHASH KUMAR SARKAR,PALENDRA NATH ROY,,,,,ISWAR BARAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Rajganj,15773,KHAGESWAR ROY,SUPEN ROY,RATAN KUMAR ROY,,DIGBIJAY MANDAL,,NOTA,,SANTI KISHOR BARARI,UDAY ROY,,,,,NIRODE CHANDRA ADHIKARY,TAPATI ROY (BARMAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dabgram-Fulbari,27593,Goutam Deb,Sikha Chatterjee,Dilip Singh,,Maheswar Barman,,NOTA,,Radhakrishna Namadas,Maniul Islam,,,,,Shambhu Sutradhar,,,,,,,,,,,,,,,,,,,,,,,,,Amitav Naskar,,,,,,,,,,,,,,,,,,,,
20,Mal,5465,BULU CHIK BARAIK,MAHESH BAGEY,MANU ORAON,,BABLU MAJHI,,NOTA,,,GITA ORAON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nagrakata,23475,JOSEPH MUNDA,PUNA BHENGRA,,SUKBIR SUBBA,ROBAT MUNDA,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BENAM ORAON,,,,,,,,,,,,,,,,,,,,,,
22,Kalimpong,3870,,SUVA PRADHAN,,DILIP PRADHAN,RUDEN SADA LEPCHA,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,PENJO GOMPU BHUTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Darjeeling,21276,,NEERAJ TAMANG ZIMBA,GAUTAM RAJ RAI,,KESHAV RAJ SHARMA,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kurseong,15515,,Bishnu Prasad Sharma (alias B.P. Bajgain),Uttam Brahman,,Tshering Lama,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Matigara-Naxalbari,70848,Rajen Sundas,Anandamay Barman,,Sankar Malakar,Rakesh Mondal,,NOTA,,Sudip Mandal,Harish Chandra Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Siliguri,35586,Dr. Omprakash Mishra,Sankar Ghosh,Asok Bhattacharya,,Habul Ghosh,,NOTA,,Kakali Majumdar (Roy),Dipti Roy,,,,,Chayan Guha,,,,,Bhushan Kumar Soni,,,,,,,,,,,,,,Chhotan Saha,,,,,,Nintu Dutta,,,,,,,,,,,,,,,,,,,,
27,Phansidewa,27711,Chhotan Kisku,Durga Murmu,,Sunil Chandra Tirkey,,,NOTA,,Karuna Ranjan Soren,Bhola Tirki,,,,,,,Sumanti Ekka,,,,,,,,,,,,,,,,,,Amit Lakra,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chopra,64905,HAMIDUL RAHAMAN,MD. SHAHIN AKHTER,ANWARUL HAQUE,,SUROJIT KISKU,,NOTA,,,,,,,,AJOY KUMAR SINHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Islampur,37440,ABDUL KARIM CHOWDHARY,SAUMYAROOP MANDAL,,SADIQUL ISLAM,MD. NAIYAR ALAM,,NOTA,,,BIRENDRA NATH SINHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Goalpokhar,73514,MD. GHULAM RABBANI,MD. GHULAM SARWAR,,MASOOD MD. NASEEM AHSEN,SHAMBHU LAL ROY,,NOTA,,SUNIL BISWAS,NABIN CHANDRA SINGHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chakulia,33837,AZAD MINHAJUL ARFIN,SACHIN PRASAD,,,MAZHAR IMAM,,NOTA,ALI IMRAN RAMZ,GOUTAM PAUL,,,,,,,,,,,KAMKSHYA SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Karandighi,36626,GOUTAM PAUL,SUBHAS CHANDRA SINHA    S/O: HARANARAYAN SINHA,,,BENOY KUMAR DAS,,NOTA,MD. HAFIZUL IQBAL,HARUN RASHID,SHANTILAL SINGHA,,,,SANTHAPAN HASDAK,BISHWAJIT SINHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hemtabad,27215,SATYAJIT BARMAN,CHANDIMA ROY,BHUPEN BARMAN,,SANKAR BARMAN,,NOTA,,BINAY KUMAR ROY,JYOTIRMAY BARMAN,,,,,MANINDRA BARMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kaliaganj,21820,TAPAN DEB SINGHA,SOUMEN ROY,,PRAVASH SARKAR,SUDHIR SARKAR,,NOTA,,,GOPAL CHUNARY,,,,,NAMALA KANTA SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Raiganj,20748,AGARWAL KANAIA LAL,KRISHNA KALYANI,,MOHIT SENGUPTA,RAJU PAUL,,NOTA,,,SANATAN MAJUMDAR,,,,BAHAMONI HANSDA,GOUTAM BISWAS,,,,,BHABATOSH LAHIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Itahar,43975,MOSARAF HUSSEN,AMIT KUMAR KUNDU,,,MOJAMMEL HAQUE,,NOTA,,,,,SRIKUMAR MUKHERJEE,,,,,,,MOFAKKERUL ISLAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Kushmandi,12584,REKHA ROY,RANJIT KUMAR ROY,,,BHIMNAL SARKAR,,NOTA,,BISWANATH SARKAR,,NARMADA CHANDRA ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kumarganj,29367,TORAF HOSSAIN MANDAL,Manas Sarkar,,CHAUDHURI NARGIS BANU,,,NOTA,,,RANAJIT DEB,,,,,,RUBEL SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Balurghat,13436,Sekhar Dasgupta,Ashok Kumar Lahiri,,,,,NOTA,,Jogesh Chandra Murmu,BIRENDRA NATH MAHANTA,Sucheta Biswas,,,Dulal Barman,Narottam Saha,Anup Barman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tapan,1650,KALPANA KISKU,BUDHRAI TUDU,,,,,NOTA,,BABLU KISKU,KALICHARAN EKKA,RAGHU UROW,,,ALBINUS HASDA,,NIPESH TIRKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gangarampur,4592,GOUTAM DAS,SATYENDRA NATH  RAY,NANDA LAL HAZRA,,,,NOTA,,ARUN KANTI BALA,,,,,,,AKSHAY SARKAR,,,,,,,SUBRATA ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Harirampur,22672,BIPLAB MITRA,NILANJAN ROY,RAFIKUL ISLAM,,BIJAN CHAKRABORTY,,NOTA,,,HARISH MAHATO,,,,SHANKAR MARDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Habibpur,19517,PRODIP BASKEY,JOYEL MURMU,THAKUR TUDU,,PROVAT KISKU,,NOTA,,SHRINATH TUDU,,,,,BABURAM KISKU,,BISWANATH MARDI,,,,,,,,PRATAP KORAMUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gazole,1798,BASANTI BARMAN,CHINMOY DEB BARMAN,ARUN KUMAR BISWAS,,SATISH RAJBANSHI,,NOTA,,SANATAN RISHI,SUPEN KUMAR ROY,,,,BIPAD  BHANJAN  ROY,,Minu Sarkar (Barman),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chanchal,67338,Nihar Ranjan Ghosh,Dipankar Ram (Bankat),,Asif Mehbub,Bhakta Prasad Saha,,NOTA,,Younish Mia,Jhantu Kumar Rabidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Harischandrapur,77473,TAJMUL HOSSAIN,MD. MATIBUR RAHAMAN,,ALAM MOSTAQUE,MD OLIUR RAHAMAN,,NOTA,ALAM MD RAFIQUL,RAM BILAS MANDAL,MUSARAF HOSSAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Malatipur,91949,ABDUR RAHIM BOXI,MOUSUMI DAS,,ALBERUNI ZULKARNAIN,,,NOTA,,MD. KAMRUL HODA,,,,,GOLAM FARUQUE,,,,,MOTIUR RAHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ratua,75650,Samar Mukherjee,Abishek Singhania,,Khatun Najema,Payel Khatun,,NOTA,,Chaitanya Rabidas,,,,,,,,,,,,,,,,,,,Arafat Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Manikchak,33878,SABITRI MITRA,GOUR CHANDRA MANDAL,,ALAM MOTTAKIN,ANIL CH. MANDAL,,NOTA,,CHANCHALA KARMAKAR,,,,,AMAL KUMAR RABIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Maldaha,15456,Ujjwal Kumar Chowdhury,Gopal Chandra Saha,,Bhupendra Nath Halder (Arjun),Sujit Kumar Moulik,,NOTA,,Mukul Sarkar,,,,,Santosh Kumar Sarkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Englishbazar,20099,KRISHNENDU NARAYAN CHOUDHURY,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),KOUSHIK MISRA(SAHEB),,MD. ANISUR RAHAMAN,,NOTA,,SURESH CHANDRA SARKAR,GAUTAM SARKAR,,,,FIROZ AKHTAR,,,,,,UMA DAS (PAUL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mothabari,56573,YEASMIN SABINA,SHYAMCHAND GHOSH,,DULAL SK,SUBODH SARKAR,MD. ALI KALIMULLAH (NUR HOQUE),NOTA,,,,,,,,,MST AKTARI KHATUN,MD EBRAHIM,,,,,,,,,,,,,,,,,,,,MD FARUQUE HOSSAIN(SAHITYARATNA),,,,,,,,,,,,,,,,,,,,,,,
53,Sujapur,130163,Md Abdul Ghani,Sk Ziauddin,,Isha Khan Choudhury,Md. Rahim Biswas,Md. Nur Islam Sekh,NOTA,,Rafiqul Islam,,,,,,,,,,,,,,,,,,Nasmul Hoque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Md Monirul Hasan,,
54,Baisnabnagar,2471,CHANDANA SARKAR,SWADHIN KUMAR SARKAR,,AZIZUL HOQUE,HARENDRANATH SARKAR,,NOTA,,NIKHIL CHANDRA MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farakka,59945,MANIRUL ISLAM,GHOSH  HEMANTA,,MAINUL HAQUE,ANUP KUMAR SINHA,MD MERAJ SORIF,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Samserganj,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Suti,70701,EMANI BISWAS,KOUSHIK DAS,,HUMAYUN REZA,MAIDUL ISLAM,,NOTA,,,ANUP SINGHA,,,,,,,,,,,,,,,,,,MAHFUJUR  RAHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jangipur,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,RaghunathGanj,98313,Akhruzzaman,Golam Modaswer,,Abul Kashem Biswas,Nasir Saikh,,NOTA,,,Rabiul Alam,,,,,,,,,,,,,,,Md. Jakir Hossain,,,M A Hannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
